"Player","Team","REC","REC_YDS","REC_TDS","FL","FPTS"
"Michael Mayer","LVhigh","29.4","317.0","2.0","0.1","43.6"
"","high","37.0","435.0","3.0","0.0","67.7"
"","low","24.2","241.9","1.4","0.2","34.1"
"Daniel Bellinger","NYGhigh","33.2","314.5","2.0","0.1","43.1"
"","high","47.0","456.0","4.0","0.0","69.6"
"","low","21.9","179.6","0.9","0.2","22.9"
"Theo Johnson","NYGhigh","32.3","312.8","2.0","0.6","42.1"
"","high","39.0","370.0","2.0","0.2","47.1"
"","low","22.0","217.0","2.0","1.0","33.7"
"Kylen Granson","INDhigh","28.4","307.3","1.9","0.1","41.9"
"","high","36.4","367.6","2.4","0.0","50.9"
"","low","17.0","173.0","1.0","0.2","39.7"
"Jelani Woods","INDhigh","26.0","292.0","2.0","0.0","41.2"
"","high","26.0","292.0","2.0","0.0","67.2"
"","low","26.0","292.0","2.0","0.0","67.2"
"Colby Parkinson","LARhigh","26.7","281.0","2.2","0.1","41.0"
"","high","34.0","366.0","3.0","0.0","88.6"
"","low","15.0","163.9","1.2","0.2","23.7"
"Tommy Tremble","CARhigh","27.5","261.5","2.5","0.1","40.7"
"","high","35.8","334.3","5.0","0.0","45.0"
"","low","16.0","170.0","1.0","0.2","39.0"
"Noah Gray","KChigh","23.0","241.2","1.8","0.1","34.6"
"","high","28.5","301.0","2.3","0.0","61.6"
"","low","6.6","65.7","0.5","0.2","9.6"
"Will Dissly","LAChigh","23.7","230.0","1.5","0.1","32.0"
"","high","36.5","369.9","2.2","0.0","49.9"
"","low","10.0","102.0","1.0","0.2","13.0"
"Mo Alie-Cox","INDhigh","16.9","189.9","2.0","0.0","31.0"
"","high","34.0","355.0","5.0","0.0","47.5"
"","low","10.0","107.0","1.0","0.1","18.1"
"Brevin Jordan","HOUhigh","14.2","179.2","1.7","0.0","27.9"
"","high","26.0","401.0","5.0","0.0","62.0"
"","low","6.1","65.1","0.5","0.1","9.2"
"Durham Smythe","MIAhigh","20.0","194.8","1.3","0.0","27.3"
"","high","37.0","385.0","2.0","0.0","50.2"
"","low","6.5","59.9","0.4","0.1","8.3"
