"Player","Team","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS","FL","FPTS"
"Tank Dell","HOUhigh","69.1","943.4","7.0","11.1","61.6","0.2","0.6","142.0"
"","high","78.0","1,023.7","10.0","16.0","92.9","0.6","0.0","218.2"
"","low","62.0","855.0","5.8","4.4","25.0","0.0","1.0","127.7"
"Stefon Diggs","HOUhigh","84.9","1,029.8","6.6","1.9","9.1","0.1","1.0","141.8"
"","high","86.4","1,040.3","7.3","4.4","24.9","0.2","1.0","226.1"
"","low","82.0","1,016.0","5.7","0.0","0.0","0.0","1.0","135.0"
"Malik Nabers","NYGhigh","80.8","1,074.2","5.8","0.5","5.0","0.0","1.2","140.6"
"","high","91.8","1,105.0","6.0","2.0","15.0","0.0","0.5","214.6"
"","low","70.0","1,031.0","5.5","0.0","0.0","0.0","2.0","129.0"
"Calvin Ridley","TENhigh","71.3","974.9","6.9","2.9","14.8","0.0","0.5","139.7"
"","high","75.0","1,024.0","9.0","8.0","34.0","0.1","0.0","207.3"
"","low","62.0","897.0","6.0","0.0","0.0","0.0","1.0","135.2"
"Zay Flowers","BALhigh","79.4","964.8","6.2","7.4","46.3","0.6","1.0","139.7"
"","high","82.0","1,007.9","7.0","9.1","55.4","1.0","0.9","213.3"
"","low","74.0","932.0","5.5","5.4","31.2","0.0","1.0","135.0"
"Michael Pittman Jr.","INDhigh","96.5","1,061.4","5.0","0.3","3.0","0.0","1.0","134.7"
"","high","100.9","1,088.0","6.2","1.0","10.0","0.0","1.0","215.0"
"","low","88.0","985.0","4.0","0.0","0.0","0.0","1.0","128.0"
"Rashee Rice","KChigh","78.5","928.0","7.1","1.5","7.0","0.0","1.0","134.4"
"","high","85.1","1,033.9","8.0","2.3","12.9","0.1","0.9","211.6"
"","low","73.0","877.3","6.0","0.0","0.0","0.0","1.0","121.0"
"Chris Godwin","TBhigh","83.1","988.9","5.3","2.7","20.9","0.3","0.5","132.9"
"","high","87.0","1,038.0","5.9","4.0","27.0","1.0","0.0","215.6"
"","low","78.0","922.0","5.0","0.0","0.0","0.0","1.0","121.0"
"Christian Kirk","JAChigh","81.2","1,010.3","5.4","1.0","6.4","0.0","1.3","131.8"
"","high","88.5","1,066.0","6.0","2.0","11.9","0.1","1.0","217.3"
"","low","75.0","951.5","4.4","0.0","0.0","0.0","2.0","121.0"
"Terry McLaurin","WAShigh","77.2","1,024.8","4.6","0.3","2.2","0.0","0.5","129.5"
"","high","84.3","1,094.6","5.0","1.0","6.0","0.0","0.0","203.4"
"","low","74.5","995.0","3.3","0.0","0.0","0.0","1.0","120.1"
"Jayden Reed","GBhigh","64.2","796.4","5.9","8.9","73.4","1.2","0.6","128.1"
"","high","71.0","886.0","8.0","12.3","105.0","3.0","0.0","201.2"
"","low","58.0","732.0","5.0","4.4","25.0","0.2","1.0","117.1"
"Diontae Johnson","CARhigh","72.8","905.8","5.7","1.0","7.2","0.0","0.6","124.6"
"","high","78.0","991.0","8.0","2.1","13.0","0.1","0.0","183.0"
"","low","64.0","794.0","4.0","0.0","0.0","0.0","1.0","118.0"
"Christian Watson","GBhigh","53.7","780.1","7.0","4.1","24.3","0.3","0.5","122.9"
"","high","58.5","843.6","10.0","6.2","38.1","1.0","0.0","170.1"
"","low","48.0","735.0","5.2","2.0","12.4","0.0","1.0","112.2"
"Keenan Allen","CHIhigh","79.4","890.4","5.6","1.0","6.3","0.0","1.0","121.3"
"","high","86.3","985.2","6.0","2.1","12.5","0.1","0.9","212.4"
"","low","71.0","815.0","4.8","0.0","0.0","0.0","1.0","109.0"
"Xavier Worthy","KChigh","57.9","839.3","6.0","3.7","23.2","0.1","0.8","121.1"
"","high","64.0","929.0","6.3","5.7","35.2","0.3","0.0","188.0"
"","low","55.0","762.2","5.7","2.0","11.0","0.0","2.0","116.0"
"DeAndre Hopkins","TENhigh","64.4","847.8","5.7","0.3","2.8","0.0","0.5","118.3"
"","high","68.0","881.8","9.0","1.0","8.0","0.0","0.0","169.5"
"","low","60.0","767.0","4.5","0.0","0.0","0.0","1.0","112.4"
"Jordan Addison","MINhigh","64.0","825.5","5.8","0.3","4.0","0.0","0.5","116.8"
"","high","70.1","961.0","8.0","1.0","18.0","0.0","0.0","200.9"
"","low","57.2","689.0","3.9","0.0","0.0","0.0","1.0","92.3"
"Courtland Sutton","DENhigh","64.4","831.7","5.9","0.0","1.2","0.0","1.3","116.1"
"","high","71.0","897.1","9.0","0.0","5.0","0.0","0.8","176.1"
"","low","56.0","766.0","4.5","0.0","0.0","0.0","2.0","111.2"
"Rome Odunze","CHIhigh","62.2","847.4","5.4","1.0","6.4","0.0","1.1","115.4"
"","high","71.0","961.0","6.2","2.1","12.9","0.1","0.4","201.8"
"","low","57.0","786.0","4.0","0.0","0.0","0.0","2.0","99.0"
"Brian Thomas Jr.","JAChigh","63.5","847.4","5.0","0.7","6.0","0.0","1.1","113.3"
"","high","69.6","925.0","5.4","2.0","15.0","0.0","0.4","168.9"
"","low","61.0","784.0","4.8","0.0","0.0","0.0","2.0","110.0"
"Jameson Williams","DEThigh","53.8","758.8","4.7","4.5","42.0","0.7","0.6","111.6"
"","high","57.0","809.0","6.0","7.0","70.0","2.0","0.0","169.4"
"","low","48.0","716.0","4.0","2.4","13.3","0.0","1.0","101.9"
"Marquise Brown","KChigh","56.6","751.8","6.0","1.2","10.8","0.0","0.4","111.4"
"","high","63.0","822.0","8.0","2.0","19.0","0.1","0.0","170.6"
"","low","43.8","640.2","5.0","0.0","0.0","0.0","1.0","96.1"
"Ladd McConkey","LAChigh","66.0","821.6","5.0","1.1","6.7","0.0","1.1","111.0"
"","high","73.4","887.8","6.0","2.2","13.7","0.1","0.0","179.1"
"","low","62.0","762.0","4.4","0.0","0.0","0.0","3.0","104.0"
"Jaxon Smith-Njigba","SEAhigh","73.0","801.7","5.2","0.0","2.0","0.0","0.6","110.6"
"","high","77.0","889.9","6.0","0.0","10.0","0.0","0.0","170.8"
"","low","68.0","707.0","4.7","0.0","0.0","0.0","1.0","99.0"
"Jerry Jeudy","CLEhigh","62.0","849.7","4.3","0.3","5.3","0.0","0.6","110.2"
"","high","63.5","919.9","5.0","1.0","13.0","0.0","0.0","166.0"
"","low","60.0","767.0","4.0","0.0","0.0","0.0","1.0","104.3"
"Tyler Lockett","SEAhigh","65.6","757.4","5.1","0.0","1.2","0.0","0.5","105.6"
"","high","69.4","781.0","6.0","0.0","5.0","0.0","0.0","169.3"
"","low","62.0","733.5","4.2","0.0","0.0","0.0","1.0","101.4"
"Joshua Palmer","LAChigh","62.1","786.3","4.7","0.3","2.8","0.0","0.9","105.5"
"","high","69.2","872.0","6.0","1.0","7.0","0.0","0.6","167.5"
"","low","58.0","723.9","4.0","0.0","0.0","0.0","1.0","97.8"
"Curtis Samuel","BUFhigh","61.0","663.2","4.6","11.3","66.7","1.0","0.5","105.5"
"","high","65.0","724.0","5.0","17.0","89.0","2.0","0.0","174.2"
"","low","56.0","602.0","4.0","4.5","25.3","0.2","1.0","98.0"
"Gabe Davis","JAChigh","50.2","741.2","5.5","0.3","1.3","0.0","0.9","105.4"
"","high","57.0","798.3","6.4","1.0","5.0","0.0","0.6","164.3"
"","low","41.0","666.0","4.5","0.0","0.0","0.0","1.0","92.0"
"Khalil Shakir","BUFhigh","59.8","776.4","4.6","0.3","4.0","0.0","0.2","105.3"
"","high","61.0","867.0","5.0","1.0","8.0","0.0","0.0","164.1"
"","low","56.8","721.5","3.6","0.0","0.0","0.0","0.7","95.4"
"Mike Williams","NYJhigh","56.2","753.6","4.9","2.3","9.2","0.0","0.5","104.7"
"","high","59.0","793.0","5.7","4.8","27.0","0.2","0.0","156.7"
"","low","54.0","709.4","4.0","0.0","0.0","0.0","1.0","94.0"
"Brandin Cooks","DALhigh","56.6","692.4","5.6","3.4","20.5","0.1","0.5","104.4"
"","high","60.0","724.0","7.0","5.0","33.0","0.2","0.0","150.9"
"","low","54.0","668.1","4.7","0.0","0.0","0.0","1.0","98.2"
"Keon Coleman","BUFhigh","55.8","745.6","5.0","1.0","4.8","0.0","1.1","102.7"
"","high","66.0","890.0","6.0","3.0","14.0","0.0","0.4","158.4"
"","low","45.4","567.6","4.0","0.0","0.0","0.0","2.0","80.4"
"Jakobi Meyers","LVhigh","64.7","728.2","4.6","2.4","15.6","0.3","0.5","102.7"
"","high","73.0","778.5","7.0","4.2","25.3","1.0","0.0","152.4"
"","low","60.0","678.0","3.3","0.0","0.0","0.0","1.0","98.4"
"Romeo Doubs","GBhigh","55.9","686.5","5.6","0.0","1.5","0.0","0.5","101.4"
"","high","62.0","777.0","8.0","0.0","5.0","0.0","0.0","168.2"
"","low","49.2","596.5","4.7","0.0","0.0","0.0","1.0","87.5"
"Rashid Shaheed","NOhigh","50.3","728.2","4.2","4.3","33.2","0.0","0.9","99.6"
"","high","54.9","799.0","6.0","7.0","52.0","0.2","0.7","155.2"
"","low","42.8","624.7","3.0","0.0","0.0","0.0","1.0","79.8"
"Darnell Mooney","ATLhigh","50.9","706.7","4.1","2.1","12.1","0.1","0.2","96.7"
"","high","55.7","810.2","5.6","4.3","25.2","0.3","0.0","143.0"
"","low","47.9","593.7","3.0","0.0","0.0","0.0","0.5","83.2"
"DeMario Douglas","NEhigh","60.9","738.4","3.2","8.4","44.1","0.1","0.9","96.4"
"","high","64.0","780.0","4.0","11.7","69.7","0.3","0.8","158.0"
"","low","57.0","693.0","2.6","4.5","25.8","0.0","1.0","86.0"
"Adam Thielen","CARhigh","69.2","695.6","4.5","0.3","3.0","0.0","0.6","95.5"
"","high","73.9","706.3","5.0","1.0","7.0","0.0","0.0","158.7"
"","low","66.9","680.0","4.0","0.0","0.0","0.0","1.0","91.0"
"John Stephens Jr.","DALhigh","53.0","711.0","4.0","2.0","10.0","0.0","2.0","92.1"
"","high","53.0","711.0","4.0","2.0","10.0","0.0","2.0","83.0"
"","low","53.0","711.0","4.0","2.0","10.0","0.0","2.0","83.0"
"Dontayvion Wicks","GBhigh","46.1","615.4","4.8","0.3","3.8","0.0","0.5","89.5"
"","high","53.1","705.2","6.0","1.0","14.0","0.0","0.0","137.5"
"","low","38.0","574.5","3.9","0.0","0.0","0.0","1.0","79.9"
"Ja'Lynn Polk","NEhigh","57.4","704.6","3.2","0.7","5.8","0.0","0.8","88.6"
"","high","61.0","743.0","4.0","2.0","14.0","0.0","0.0","143.4"
"","low","54.0","640.0","2.9","0.0","0.0","0.0","2.0","80.0"
"Adonai Mitchell","INDhigh","48.6","658.3","3.8","0.7","4.8","0.0","0.8","87.4"
"","high","50.2","730.0","4.0","2.0","11.0","0.0","0.0","140.1"
"","low","46.3","606.3","3.4","0.0","0.0","0.0","2.0","82.3"
"Michael Wilson","ARIhigh","49.8","652.7","3.7","0.0","1.3","0.0","0.2","87.1"
"","high","56.4","702.0","5.0","0.0","5.0","0.0","0.0","141.9"
"","low","44.7","570.0","2.4","0.0","0.0","0.0","0.6","70.5"
"Demarcus Robinson","LARhigh","46.2","593.6","4.4","0.3","7.8","0.0","0.6","85.5"
"","high","57.7","697.5","5.0","1.0","20.0","0.0","0.0","136.5"
"","low","37.2","514.0","3.2","0.0","0.0","0.0","1.0","69.8"
"Josh Downs","INDhigh","55.6","634.7","3.3","0.0","5.3","0.0","0.5","82.9"
"","high","60.0","669.0","4.0","0.0","21.0","0.0","0.0","151.0"
"","low","49.5","556.6","2.4","0.0","0.0","0.0","1.0","70.7"
"DJ Chark Jr.","LAChigh","38.6","554.3","4.7","0.0","1.8","0.0","0.5","82.8"
"","high","41.7","618.5","8.0","0.0","7.0","0.0","0.0","109.1"
"","low","36.8","514.0","2.8","0.0","0.0","0.0","1.0","69.3"
"Rashod Bateman","BALhigh","46.2","605.0","3.5","0.3","4.5","0.0","0.2","81.5"
"","high","47.0","624.0","4.0","1.0","13.0","0.0","0.0","129.2"
"","low","45.7","587.0","2.6","0.0","0.0","0.0","0.5","75.4"
"Wan'Dale Robinson","NYGhigh","60.1","560.7","2.7","8.1","58.1","0.5","0.5","80.0"
"","high","62.4","593.0","4.0","8.7","77.0","1.0","0.0","144.8"
"","low","58.0","522.3","1.3","7.6","49.2","0.0","1.0","71.4"
"Xavier Legette","CARhigh","46.0","597.4","3.1","2.8","17.2","0.1","0.4","79.4"
"","high","50.0","642.0","4.0","6.3","38.9","0.3","0.0","140.2"
"","low","41.2","492.8","2.1","0.0","0.0","0.0","1.0","60.9"
"Darius Slayton","NYGhigh","42.1","598.5","3.1","0.0","1.3","0.0","0.1","78.6"
"","high","44.2","690.0","5.0","0.0","5.0","0.0","0.0","111.5"
"","low","38.0","544.6","2.2","0.0","0.0","0.0","0.4","68.1"
"Odell Beckham Jr.","MIAhigh","37.4","508.7","3.5","0.0","2.3","0.0","0.4","71.0"
"","high","46.0","673.0","4.0","0.0","7.0","0.0","0.0","95.0"
"","low","31.8","423.0","3.0","0.0","0.0","0.0","1.0","66.9"
"Jalen McMillan","TBhigh","43.0","512.6","3.2","0.7","7.5","0.0","0.7","69.9"
"","high","55.0","583.0","4.0","2.0","22.0","0.0","0.0","139.5"
"","low","38.0","449.5","2.9","0.0","0.0","0.0","2.0","60.0"
"Ricky Pearsall","SFhigh","37.1","477.9","3.5","2.2","14.5","0.1","0.7","68.9"
"","high","51.0","614.0","5.0","4.7","29.0","0.3","0.0","144.1"
"","low","26.6","353.9","2.5","0.0","0.0","0.0","2.0","54.7"
"Quentin Johnston","LAChigh","39.7","494.1","3.2","1.7","6.8","0.0","0.1","68.8"
"","high","49.0","614.0","4.0","3.0","13.4","0.1","0.0","135.0"
"","low","26.1","300.8","1.7","0.0","0.0","0.0","0.4","39.8"
