"Player","Team","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS","FL","FPTS"
"Kalif Raymond","DEThigh","24.3","296.0","1.6","2.2","24.6","0.1","0.2","41.8"
"","high","32.5","359.4","2.0","4.5","44.0","0.2","0.0","72.8"
"","low","15.5","214.8","1.1","0.0","0.0","0.0","0.4","26.9"
"Van Jefferson","PIThigh","22.7","309.2","1.8","0.0","4.0","0.0","0.1","41.7"
"","high","27.6","402.5","2.0","0.0","12.0","0.0","0.0","67.9"
"","low","16.5","218.0","1.3","0.0","0.0","0.0","0.3","29.6"
"JuJu Smith-Schuster","KChigh","27.6","292.5","1.9","0.5","1.7","0.0","0.0","40.8"
"","high","46.0","480.0","3.0","1.0","3.0","0.0","0.0","70.2"
"","low","8.7","98.4","0.7","0.0","0.0","0.0","0.0","13.5"
"Jalen Nailor","MINhigh","24.8","308.5","1.5","0.0","0.3","0.0","0.0","40.0"
"","high","34.0","470.0","2.0","0.0","1.0","0.0","0.0","78.1"
"","low","10.5","129.8","0.6","0.0","0.0","0.0","0.1","16.1"
"Zay Jones","ARIhigh","24.4","279.6","1.9","0.0","2.0","0.0","0.6","38.1"
"","high","32.0","383.0","3.0","0.0","6.0","0.0","0.2","86.9"
"","low","12.8","125.5","0.6","0.0","0.0","0.0","1.0","16.4"
"Jauan Jennings","SFhigh","20.9","258.5","1.7","0.0","3.3","0.0","0.1","35.9"
"","high","37.0","452.0","3.0","0.0","10.0","0.0","0.0","101.2"
"","low","4.9","57.3","0.4","0.0","0.0","0.0","0.2","8.3"
"Xavier Gipson","NYJhigh","19.4","221.3","1.6","4.6","32.6","0.2","0.1","35.6"
"","high","28.0","302.0","2.2","4.8","42.0","0.3","0.0","80.4"
"","low","8.6","96.1","0.6","4.4","27.2","0.0","0.3","16.3"
"Allen Lazard","NYJhigh","19.3","247.7","1.8","0.0","0.7","0.0","0.1","35.5"
"","high","32.5","402.9","2.8","0.0","2.0","0.0","0.0","56.9"
"","low","9.0","123.0","1.0","0.0","0.0","0.0","0.1","27.5"
"Javon Baker","NEhigh","20.7","248.1","1.4","0.0","7.3","0.0","0.0","33.7"
"","high","40.0","485.0","3.0","0.0","22.0","0.0","0.0","108.7"
"","low","10.0","114.1","0.5","0.0","0.0","0.0","0.1","14.5"
"Tutu Atwell","LARhigh","17.6","231.7","1.2","2.2","14.1","0.1","0.1","32.0"
"","high","19.7","265.0","1.3","2.3","17.0","0.2","0.0","50.9"
"","low","14.0","188.3","1.0","2.1","12.3","0.0","0.2","27.7"
"K.J. Osborn","NEhigh","19.1","234.8","1.4","0.0","2.0","0.0","0.0","32.0"
"","high","33.0","427.0","3.0","0.0","6.0","0.0","0.0","94.3"
"","low","8.3","85.8","0.4","0.0","0.0","0.0","0.1","11.0"
"KhaDarel Hodge","ATLhigh","17.0","226.6","1.4","0.0","0.0","0.0","0.2","30.6"
"","high","21.3","279.5","1.8","0.0","0.0","0.0","0.2","38.4"
"","low","12.7","173.7","1.0","0.0","0.0","0.0","0.2","23.2"
"Trenton Irwin","CINhigh","17.1","217.5","1.5","0.0","1.5","0.0","0.1","30.5"
"","high","36.0","483.0","3.0","0.0","4.0","0.0","0.0","57.0"
"","low","7.5","91.0","0.6","0.0","0.0","0.0","0.2","12.6"
"Jake Bobo","SEAhigh","15.0","174.0","1.3","4.2","18.4","0.2","0.1","27.7"
"","high","20.0","246.0","2.0","8.4","51.3","0.5","0.0","57.0"
"","low","10.4","118.4","0.8","0.0","0.0","0.0","0.2","16.3"
"Justin Watson","KChigh","14.0","196.2","1.4","0.0","0.0","0.0","0.1","27.6"
"","high","16.2","228.8","1.7","0.0","0.0","0.0","0.0","31.7"
"","low","11.0","144.0","1.0","0.0","0.0","0.0","0.2","30.9"
"Mack Hollins","BUFhigh","14.4","185.4","1.3","0.0","0.0","0.0","0.0","26.3"
"","high","23.3","305.8","2.0","0.0","0.0","0.0","0.0","42.6"
"","low","10.0","122.5","0.9","0.0","0.0","0.0","0.1","17.6"
"Rakim Jarrett","TBhigh","14.0","175.0","1.0","0.0","10.0","0.0","0.0","24.5"
"","high","14.0","175.0","1.0","0.0","10.0","0.0","0.0","38.5"
"","low","14.0","175.0","1.0","0.0","10.0","0.0","0.0","38.5"
"David Bell","CLEhigh","14.6","150.1","1.4","0.0","1.0","0.0","0.0","23.6"
"","high","33.0","330.0","4.0","0.0","4.0","0.0","0.0","48.0"
"","low","5.5","61.2","0.3","0.0","0.0","0.0","0.1","8.4"
"Brandon Powell","MINhigh","15.5","154.6","0.9","1.9","14.6","0.0","0.1","22.5"
"","high","18.6","190.0","1.0","3.8","23.0","0.1","0.0","36.4"
"","low","14.0","132.8","0.8","0.0","0.0","0.0","0.2","17.6"
"Tyquan Thornton","NEhigh","13.2","164.1","0.9","1.0","7.1","0.0","0.1","22.3"
"","high","15.5","198.8","1.0","1.9","13.2","0.1","0.0","27.5"
"","low","9.0","117.0","0.7","0.0","0.0","0.0","0.2","21.6"
"Bub Means","NOhigh","13.2","160.0","1.1","0.0","0.0","0.0","0.0","22.2"
"","high","14.5","175.0","1.1","0.0","0.0","0.0","0.0","32.5"
"","low","12.0","145.0","1.0","0.0","0.0","0.0","0.1","24.1"
"Malik Washington","MIAhigh","11.7","144.5","0.9","2.1","13.3","0.1","0.0","21.2"
"","high","13.0","166.0","1.0","2.1","14.0","0.1","0.0","37.0"
"","low","10.3","123.0","0.7","2.1","12.6","0.0","0.1","19.1"
"Ainias Smith","PHIhigh","11.0","141.0","1.0","0.0","6.0","0.0","0.0","20.7"
"","high","11.0","141.0","1.0","0.0","6.0","0.0","0.0","31.7"
"","low","11.0","141.0","1.0","0.0","6.0","0.0","0.0","31.7"
"Jamari Thrash","CLEhigh","11.0","141.0","1.0","0.0","6.0","0.0","0.0","20.7"
"","high","11.0","141.0","1.0","0.0","6.0","0.0","0.0","31.7"
"","low","11.0","141.0","1.0","0.0","6.0","0.0","0.0","31.7"
"Ryan Flournoy","DALhigh","12.0","141.1","1.1","0.0","0.0","0.0","0.0","20.5"
"","high","13.0","156.3","1.2","0.0","0.0","0.0","0.0","29.6"
"","low","11.0","126.0","1.0","0.0","0.0","0.0","0.1","22.5"
"Marquez Valdes-Scantling","BUFhigh","9.0","139.4","1.1","0.0","1.0","0.0","0.0","20.4"
"","high","15.0","226.0","2.0","0.0","3.0","0.0","0.0","49.9"
"","low","5.8","95.2","0.6","0.0","0.0","0.0","0.1","12.8"
"Jacob Cowing","SFhigh","11.0","134.0","1.0","0.0","6.0","0.0","0.0","20.0"
"","high","11.0","134.0","1.0","0.0","6.0","0.0","0.0","31.0"
"","low","11.0","134.0","1.0","0.0","6.0","0.0","0.0","31.0"
"Jamison Crowder","WAShigh","15.2","149.9","0.8","0.0","0.0","0.0","0.1","19.6"
"","high","18.6","175.6","1.0","0.0","0.0","0.0","0.0","30.2"
"","low","12.0","122.0","0.6","0.0","0.0","0.0","0.2","20.0"
"Marcus Rosemy-Jacksaint","WAShigh","10.0","126.0","1.0","0.0","6.0","0.0","0.0","19.2"
"","high","10.0","126.0","1.0","0.0","6.0","0.0","0.0","29.2"
"","low","10.0","126.0","1.0","0.0","6.0","0.0","0.0","29.2"
"Mason Tipton","NOhigh","12.0","131.0","1.0","0.0","0.0","0.0","0.0","19.1"
"","high","12.0","131.0","1.0","0.0","0.0","0.0","0.0","31.1"
"","low","12.0","131.0","1.0","0.0","0.0","0.0","0.0","31.1"
"Tahj Washington","MIAhigh","11.0","131.0","1.0","0.0","0.0","0.0","0.0","19.1"
"","high","11.0","131.0","1.0","0.0","0.0","0.0","0.0","30.1"
"","low","11.0","131.0","1.0","0.0","0.0","0.0","0.0","30.1"
"Casey Washington","ATLhigh","10.6","128.0","1.0","0.0","0.0","0.0","0.0","18.7"
"","high","11.2","128.9","1.0","0.0","0.0","0.0","0.0","28.7"
"","low","10.0","127.0","1.0","0.0","0.0","0.0","0.1","18.7"
"Devaughn Vele","DENhigh","10.0","123.0","1.0","0.0","0.0","0.0","0.0","18.3"
"","high","10.0","123.0","1.0","0.0","0.0","0.0","0.0","28.3"
"","low","10.0","123.0","1.0","0.0","0.0","0.0","0.0","28.3"
"Jordan Whittington","LARhigh","10.8","129.6","0.9","0.0","0.0","0.0","0.0","18.2"
"","high","11.0","131.2","1.0","0.0","0.0","0.0","0.0","29.8"
"","low","10.7","128.0","0.8","0.0","0.0","0.0","0.1","17.7"
"Johnny Wilson","PHIhigh","11.0","130.7","0.8","0.0","2.5","0.0","0.0","18.0"
"","high","14.0","167.0","1.0","0.0","5.0","0.0","0.0","37.2"
"","low","8.1","94.4","0.6","0.0","0.0","0.0","0.1","13.0"
"Tyler Scott","CHIhigh","9.5","107.8","0.9","2.1","18.2","0.1","0.0","18.0"
"","high","22.0","249.0","2.0","4.2","29.0","0.2","0.0","61.8"
"","low","1.7","19.6","0.2","0.0","0.0","0.0","0.1","2.8"
"John Metchie III","HOUhigh","10.4","125.3","0.8","0.0","2.7","0.0","0.0","17.6"
"","high","14.0","162.0","1.0","0.0","8.0","0.0","0.0","37.0"
"","low","4.9","61.0","0.4","0.0","0.0","0.0","0.1","8.7"
"Derius Davis","LAChigh","7.0","81.1","0.6","6.7","38.6","0.1","0.1","15.8"
"","high","12.0","151.0","1.0","13.4","85.7","0.3","0.0","42.1"
"","low","1.8","19.2","0.2","0.0","0.0","0.0","0.2","2.6"
"Trent Sherfield Sr.","MINhigh","9.3","114.5","0.7","0.0","1.3","0.0","0.0","15.5"
"","high","13.0","167.0","1.0","0.0","4.0","0.0","0.0","36.1"
"","low","5.5","71.4","0.4","0.0","0.0","0.0","0.1","9.6"
"Jalen Brooks","DALhigh","11.5","106.8","0.8","0.0","0.0","0.0","0.0","15.4"
"","high","20.0","147.0","1.0","0.0","0.0","0.0","0.0","40.7"
"","low","5.6","64.5","0.5","0.0","0.0","0.0","0.1","9.3"
"Robert Woods","HOUhigh","10.1","107.2","0.7","0.0","2.0","0.0","0.0","15.4"
"","high","13.0","133.0","1.0","0.0","4.0","0.0","0.0","32.7"
"","low","7.2","81.4","0.5","0.0","0.0","0.0","0.0","11.1"
"Brenden Rice","LAChigh","8.9","106.8","0.7","0.0","2.0","0.0","0.0","15.3"
"","high","11.0","138.0","1.0","0.0","4.0","0.0","0.0","31.2"
"","low","6.8","75.7","0.5","0.0","0.0","0.0","0.0","11.0"
"Mecole Hardman Jr.","KChigh","7.7","97.5","0.7","0.0","13.0","0.0","0.0","15.2"
"","high","11.0","144.0","1.0","0.0","26.0","0.0","0.0","34.0"
"","low","4.3","51.0","0.4","0.0","0.0","0.0","0.0","7.2"
"Skyy Moore","KChigh","8.7","101.2","0.8","0.0","3.0","0.0","0.1","15.0"
"","high","12.0","129.0","1.0","0.0","9.0","0.0","0.0","31.8"
"","low","4.4","51.7","0.4","0.0","0.0","0.0","0.1","7.1"
"David Moore","CARhigh","8.1","107.9","0.7","0.0","1.7","0.0","0.1","14.7"
"","high","10.5","135.0","1.0","0.0","5.0","0.0","0.0","29.0"
"","low","4.7","66.7","0.3","0.0","0.0","0.0","0.1","8.4"
"Isaiah McKenzie","NYGhigh","10.8","96.2","0.6","1.9","10.1","0.1","0.1","14.6"
"","high","12.4","107.0","1.0","3.8","20.3","0.2","0.0","28.7"
"","low","9.1","81.1","0.4","0.0","0.0","0.0","0.2","10.3"
"Nick Westbrook-Ikhine","TENhigh","8.1","108.0","0.6","0.0","1.3","0.0","0.0","14.5"
"","high","13.0","180.0","1.0","0.0","4.0","0.0","0.0","37.4"
"","low","3.0","42.3","0.2","0.0","0.0","0.0","0.1","5.6"
"Xavier Hutchinson","HOUhigh","7.9","98.6","0.6","0.0","9.5","0.0","0.0","14.3"
"","high","14.0","175.0","1.0","0.0","19.0","0.0","0.0","39.4"
"","low","1.7","22.1","0.2","0.0","0.0","0.0","0.0","3.1"
"Anthony Gould","INDhigh","7.6","89.5","0.7","0.0","0.0","0.0","0.0","13.0"
"","high","9.0","109.0","1.0","0.0","0.0","0.0","0.0","25.9"
"","low","6.2","70.0","0.4","0.0","0.0","0.0","0.0","11.6"
"Devin Duvernay","JAChigh","8.2","83.2","0.4","3.3","16.9","0.1","0.1","12.8"
"","high","11.7","111.2","0.7","4.5","25.7","0.2","0.0","20.5"
"","low","5.0","64.0","0.0","2.0","12.0","0.0","0.1","12.6"
"Charlie Jones","CINhigh","7.4","90.0","0.6","0.0","1.7","0.0","0.0","12.7"
"","high","13.0","167.0","1.0","0.0","5.0","0.0","0.0","36.2"
"","low","3.8","41.3","0.3","0.0","0.0","0.0","0.0","8.0"
"Chris Moore","ARIhigh","7.4","89.2","0.5","0.0","3.3","0.0","0.0","12.3"
"","high","11.0","138.0","1.0","0.0","10.0","0.0","0.0","31.8"
"","low","4.6","55.1","0.3","0.0","0.0","0.0","0.1","7.1"
"Jalen Guyton","LVhigh","6.0","79.9","0.6","0.0","2.0","0.0","0.0","11.7"
"","high","9.0","119.0","1.0","0.0","4.0","0.0","0.0","27.3"
"","low","2.9","40.9","0.2","0.0","0.0","0.0","0.0","5.3"
"Nsimba Webster","CHIhigh","6.9","80.7","0.6","0.0","0.0","0.0","0.0","11.6"
"","high","6.9","80.7","0.6","0.0","0.0","0.0","0.0","11.2"
"","low","6.9","80.7","0.6","0.0","0.0","0.0","0.0","11.2"
"Kayshon Boutte","NEhigh","6.4","80.9","0.5","0.0","2.5","0.0","0.0","11.6"
"","high","11.0","138.0","1.0","0.0","5.0","0.0","0.0","31.3"
"","low","1.9","23.7","0.1","0.0","0.0","0.0","0.0","2.9"
"Ihmir Smith-Marsette","CARhigh","8.6","67.0","0.4","2.1","18.1","0.1","0.0","11.5"
"","high","21.0","144.0","1.0","4.2","28.2","0.3","0.0","44.0"
"","low","1.6","19.6","0.1","0.0","0.0","0.0","0.1","2.5"
"Jason Brownlee","NYJhigh","6.3","78.6","0.6","0.0","1.5","0.0","0.0","11.5"
"","high","11.0","138.0","1.0","0.0","3.0","0.0","0.0","31.1"
"","low","1.7","19.2","0.2","0.0","0.0","0.0","0.0","2.7"
"Jalen Reagor","NEhigh","5.8","75.7","0.6","0.0","2.0","0.0","0.0","11.4"
"","high","8.0","106.0","1.0","0.0","4.0","0.0","0.0","25.0"
"","low","3.7","45.5","0.2","0.0","0.0","0.0","0.0","5.5"
"Zach Pascal","ARIhigh","5.9","74.8","0.6","0.0","2.0","0.0","0.0","11.4"
"","high","9.0","119.0","1.0","0.0","4.0","0.0","0.0","27.3"
"","low","2.8","30.5","0.2","0.0","0.0","0.0","0.0","4.2"
"Ronnie Bell","SFhigh","6.3","76.0","0.6","0.0","2.0","0.0","0.0","11.3"
"","high","11.0","134.0","1.0","0.0","4.0","0.0","0.0","30.8"
"","low","1.5","18.1","0.2","0.0","0.0","0.0","0.0","2.8"
"Braxton Berrios","MIAhigh","8.2","79.2","0.5","0.0","2.7","0.0","0.0","11.2"
"","high","15.0","149.0","1.0","0.0","8.0","0.0","0.0","42.7"
"","low","3.9","35.5","0.2","0.0","0.0","0.0","0.1","4.9"
"Deonte Harty","BALhigh","5.9","72.2","0.6","0.0","5.0","0.0","0.0","11.1"
"","high","8.0","95.0","1.0","0.0","15.0","0.0","0.0","25.0"
"","low","3.2","37.3","0.2","0.0","0.0","0.0","0.0","6.9"
"Ashton Dulin","INDhigh","6.1","70.4","0.6","0.0","2.0","0.0","0.0","10.9"
"","high","9.0","102.0","1.0","0.0","4.0","0.0","0.0","25.6"
"","low","3.2","38.8","0.2","0.0","0.0","0.0","0.0","5.3"
"Bo Melton","GBhigh","5.9","68.7","0.5","1.0","6.3","0.0","0.1","10.4"
"","high","9.9","115.5","0.8","2.1","12.7","0.1","0.1","17.9"
"","low","1.8","22.0","0.2","0.0","0.0","0.0","0.1","3.1"
"Chris Conley","SFhigh","5.3","65.0","0.6","0.0","2.0","0.0","0.0","10.2"
"","high","9.0","111.0","1.0","0.0","4.0","0.0","0.0","26.5"
"","low","1.5","19.1","0.2","0.0","0.0","0.0","0.0","2.8"
"Malik Heath","GBhigh","5.4","64.6","0.6","0.0","1.5","0.0","0.0","10.1"
"","high","9.0","108.0","1.0","0.0","3.0","0.0","0.0","26.1"
"","low","1.9","21.2","0.2","0.0","0.0","0.0","0.0","2.9"
"Laviska Shenault Jr.","SEAhigh","5.2","55.1","0.2","3.2","28.9","0.1","0.1","10.0"
"","high","7.7","77.1","0.4","4.2","52.0","0.2","0.0","18.1"
"","low","1.9","19.2","0.0","2.2","12.3","0.0","0.1","4.5"
"Tim Jones","JAChigh","4.9","57.1","0.6","0.0","2.0","0.0","0.0","9.4"
"","high","8.0","95.0","1.0","0.0","4.0","0.0","0.0","23.9"
"","low","1.8","19.1","0.2","0.0","0.0","0.0","0.0","2.7"
"Equanimeous St. Brown","NOhigh","4.3","56.7","0.6","0.0","2.0","0.0","0.0","9.4"
"","high","7.0","91.0","1.0","0.0","4.0","0.0","0.0","22.5"
"","low","1.7","22.5","0.2","0.0","0.0","0.0","0.0","3.0"
"Danny Gray","SFhigh","4.3","56.0","0.6","0.0","2.0","0.0","0.0","9.3"
"","high","7.0","94.0","1.0","0.0","4.0","0.0","0.0","22.8"
"","low","1.5","18.0","0.2","0.0","0.0","0.0","0.0","2.7"
"Scotty Miller","PIThigh","5.1","63.8","0.2","0.0","1.3","0.0","0.0","7.8"
"","high","6.1","75.5","0.4","0.0","4.0","0.0","0.0","11.8"
"","low","4.3","52.0","0.0","0.0","0.0","0.0","0.1","7.3"
"Miles Boykin","NYGhigh","4.9","53.8","0.3","0.0","0.0","0.0","0.0","7.2"
"","high","4.9","53.8","0.3","0.0","0.0","0.0","0.0","7.1"
"","low","4.9","53.8","0.3","0.0","0.0","0.0","0.0","7.1"
"Tylan Wallace","BALhigh","4.0","50.7","0.1","0.0","2.0","0.0","0.0","5.9"
"","high","5.0","64.0","0.2","0.0","4.0","0.0","0.0","11.8"
"","low","2.9","37.4","0.0","0.0","0.0","0.0","0.0","5.2"
"River Cracraft","MIAhigh","6.9","51.6","0.1","0.0","0.0","0.0","0.0","5.9"
"","high","10.0","61.0","0.2","0.0","0.0","0.0","0.0","16.1"
"","low","3.7","42.2","0.0","0.0","0.0","0.0","0.0","5.6"
"Dareke Young","SEAhigh","3.4","39.8","0.3","0.0","0.0","0.0","0.0","5.5"
"","high","3.4","39.8","0.3","0.0","0.0","0.0","0.0","5.5"
"","low","3.4","39.8","0.3","0.0","0.0","0.0","0.0","5.5"
"Tre'Quan Smith","DEThigh","6.4","49.2","0.1","0.0","0.0","0.0","0.0","5.4"
"","high","11.0","74.0","0.2","0.0","0.0","0.0","0.0","18.4"
"","low","1.9","24.5","0.0","0.0","0.0","0.0","0.0","3.5"
"DJ Turner","LVhigh","3.3","37.4","0.2","0.0","0.0","0.0","0.1","4.9"
"","high","5.1","57.2","0.2","0.0","0.0","0.0","0.1","7.1"
"","low","1.5","17.6","0.2","0.0","0.0","0.0","0.1","2.5"
"Britain Covey","PHIhigh","3.6","38.9","0.1","0.0","0.0","0.0","0.0","4.5"
"","high","4.0","41.0","0.2","0.0","0.0","0.0","0.0","8.1"
"","low","3.2","36.8","0.0","0.0","0.0","0.0","0.0","5.0"
"Jha'Quan Jackson","TENhigh","4.0","41.0","0.0","0.0","0.0","0.0","0.0","4.1"
"","high","4.0","41.0","0.0","0.0","0.0","0.0","0.0","8.1"
"","low","4.0","41.0","0.0","0.0","0.0","0.0","0.0","8.1"
"Tyler Johnson","LARhigh","2.1","25.2","0.2","0.0","0.0","0.0","0.0","3.8"
"","high","2.1","25.2","0.2","0.0","0.0","0.0","0.0","3.6"
"","low","2.1","25.2","0.2","0.0","0.0","0.0","0.0","3.6"
"Velus Jones Jr.","CHIhigh","1.9","25.0","0.1","0.0","3.0","0.0","0.0","3.3"
"","high","2.0","30.0","0.2","0.0","6.0","0.0","0.0","5.6"
"","low","1.7","20.1","0.0","0.0","0.0","0.0","0.0","2.8"
"Byron Pringle","WAShigh","2.6","21.0","0.2","0.0","1.0","0.0","0.0","3.2"
"","high","3.0","35.0","0.3","0.0","2.0","0.0","0.0","6.7"
"","low","2.2","7.0","0.0","0.0","0.0","0.0","0.0","2.6"
"Simi Fehoko","LAChigh","1.7","20.2","0.2","0.0","0.0","0.0","0.0","3.0"
"","high","1.7","20.2","0.2","0.0","0.0","0.0","0.0","2.7"
"","low","1.7","20.2","0.2","0.0","0.0","0.0","0.0","2.7"
"Anthony Schwartz","MIAhigh","1.7","20.0","0.2","0.0","0.0","0.0","0.0","3.0"
"","high","1.7","20.0","0.2","0.0","0.0","0.0","0.0","2.8"
"","low","1.7","20.0","0.2","0.0","0.0","0.0","0.0","2.8"
"Stanley Morgan Jr.","NOhigh","1.7","19.7","0.2","0.0","0.0","0.0","0.0","3.0"
"","high","1.7","19.7","0.2","0.0","0.0","0.0","0.0","2.7"
"","low","1.7","19.7","0.2","0.0","0.0","0.0","0.0","2.7"
"Colton Dowell","TENhigh","1.5","19.3","0.2","0.0","0.0","0.0","0.0","3.0"
"","high","1.5","19.3","0.2","0.0","0.0","0.0","0.0","2.6"
"","low","1.5","19.3","0.2","0.0","0.0","0.0","0.0","2.6"
"Irvin Charles","NYJhigh","1.7","19.2","0.2","0.0","0.0","0.0","0.0","2.9"
"","high","1.7","19.2","0.2","0.0","0.0","0.0","0.0","2.7"
"","low","1.7","19.2","0.2","0.0","0.0","0.0","0.0","2.7"
"Malik Taylor","NYJhigh","1.7","19.2","0.2","0.0","0.0","0.0","0.0","2.9"
"","high","1.7","19.2","0.2","0.0","0.0","0.0","0.0","2.7"
"","low","1.7","19.2","0.2","0.0","0.0","0.0","0.0","2.7"
"Trishton Jackson","MINhigh","1.7","18.8","0.2","0.0","0.0","0.0","0.0","2.9"
"","high","1.7","18.8","0.2","0.0","0.0","0.0","0.0","2.6"
"","low","1.7","18.8","0.2","0.0","0.0","0.0","0.0","2.6"
"Jacob Harris","PHIhigh","1.6","18.4","0.2","0.0","0.0","0.0","0.0","2.9"
"","high","1.6","18.4","0.2","0.0","0.0","0.0","0.0","2.6"
"","low","1.6","18.4","0.2","0.0","0.0","0.0","0.0","2.6"
"Juwann Winfree","INDhigh","1.5","18.0","0.2","0.0","0.0","0.0","0.0","2.8"
"","high","1.5","18.0","0.2","0.0","0.0","0.0","0.0","2.5"
"","low","1.5","18.0","0.2","0.0","0.0","0.0","0.0","2.5"
"DeAndre Carter","CHIhigh","2.0","21.0","0.0","0.0","6.0","0.0","0.0","2.7"
"","high","2.0","21.0","0.0","0.0","6.0","0.0","0.0","4.7"
"","low","2.0","21.0","0.0","0.0","6.0","0.0","0.0","4.7"
"Gunner Olszewski","NYGhigh","1.7","17.7","0.1","0.0","0.0","0.0","0.0","2.4"
"","high","1.7","17.7","0.1","0.0","0.0","0.0","0.0","2.2"
"","low","1.7","17.7","0.1","0.0","0.0","0.0","0.0","2.2"
""
""
