"Player","Team","PASS_ATT","PASS_CMP","PASS_YDS","PASS_TDS","PASS_INTS","RUSH_ATT","RUSH_YDS","RUSH_TDS","FL","FPTS"
"","high","596.6","390.1","4,781.0","33.0","8.9","46.0","195.0","3.0","3.0","351.7"
"","low","528.0","346.0","4,058.5","26.8","12.0","40.0","162.0","2.0","4.0","276.5"
"Joe Burrow","CINhigh","580.2","388.9","4,239.7","30.1","11.5","56.7","191.3","2.1","3.1","304.5"
"","high","592.2","404.0","4,341.3","33.0","10.0","65.0","254.2","2.6","2.0","355.8"
"","low","554.6","368.7","4,130.3","26.8","12.0","50.0","149.0","2.0","4.0","279.1"
"Kyler Murray","ARIhigh","530.6","353.8","3,708.6","21.8","12.1","96.1","530.7","5.2","2.6","302.5"
"","high","557.0","378.0","3,797.9","27.0","11.0","123.8","672.6","6.5","0.0","344.1"
"","low","513.6","339.0","3,556.3","17.5","14.0","83.0","436.0","4.0","4.7","264.6"
"Jordan Love","GBhigh","545.5","355.2","3,988.3","29.4","11.5","45.7","200.3","2.4","3.0","294.1"
"","high","595.6","387.9","4,379.0","36.0","10.0","51.0","238.0","3.0","2.0","372.0"
"","low","517.4","329.7","3,725.5","26.4","12.7","35.4","154.1","1.6","4.1","260.4"
"Brock Purdy","SFhigh","498.4","336.2","4,076.5","29.6","10.8","44.1","161.8","1.9","2.6","293.3"
"","high","539.6","360.9","4,206.0","33.0","9.0","46.8","173.5","2.3","2.0","353.0"
"","low","470.0","318.0","3,908.2","24.3","12.0","39.7","150.5","1.4","3.0","259.6"
"Jayden Daniels","WAShigh","543.4","338.7","3,580.1","20.0","13.8","114.6","594.8","5.0","4.4","290.1"
"","high","588.7","365.7","3,903.9","27.0","13.0","129.0","686.0","6.0","3.0","341.0"
"","low","506.1","316.2","3,397.0","15.2","15.0","103.0","533.0","4.0","6.0","254.9"
"Caleb Williams","CHIhigh","532.7","346.6","3,783.9","25.3","13.4","77.5","361.3","3.3","4.3","286.3"
"","high","572.5","379.1","4,178.4","28.0","12.7","116.0","566.0","5.0","3.0","342.0"
"","low","495.0","318.0","3,485.0","22.9","14.0","61.6","292.0","2.0","6.0","252.0"
"Trevor Lawrence","JAChigh","566.3","373.4","3,984.1","24.3","12.5","66.1","306.2","3.5","4.8","286.1"
"","high","596.9","393.0","4,193.8","28.0","11.9","70.0","318.0","5.0","4.0","340.6"
"","low","536.3","348.5","3,769.6","20.4","13.0","58.3","281.3","3.0","6.0","248.8"
"Justin Herbert","LAChigh","544.4","356.1","3,849.3","24.5","9.9","64.6","263.2","2.7","3.0","278.6"
"","high","578.5","378.7","4,126.0","28.0","9.0","79.8","338.7","3.0","2.0","331.0"
"","low","496.2","322.7","3,561.7","22.7","10.7","54.0","211.0","2.0","4.0","251.9"
"Deshaun Watson","CLEhigh","544.7","334.4","3,746.7","22.9","13.3","77.3","385.9","3.2","3.8","278.0"
"","high","604.0","355.0","4,021.0","28.0","10.6","96.1","447.5","4.3","3.0","322.5"
"","low","491.0","312.8","3,378.0","20.7","18.0","68.0","350.0","2.0","4.5","254.4"
"Jared Goff","DEThigh","569.0","384.0","4,232.0","28.1","10.6","24.6","55.7","1.1","3.1","277.1"
"","high","601.6","400.3","4,433.0","31.0","9.0","32.9","83.3","1.8","3.0","338.0"
"","low","521.2","349.6","3,755.0","23.1","11.7","10.0","42.0","0.8","3.4","234.9"
"Tua Tagovailoa","MIAhigh","545.0","370.8","4,270.4","27.3","12.5","31.8","88.8","0.6","3.8","272.6"
"","high","594.8","401.8","4,593.8","29.0","12.0","39.0","114.0","1.0","3.0","332.2"
"","low","517.1","347.3","4,033.4","23.0","13.0","22.2","73.0","0.0","4.3","240.9"
"Baker Mayfield","TBhigh","562.0","355.1","3,941.4","25.7","11.9","51.9","171.1","1.5","3.3","267.9"
"","high","570.0","365.0","4,004.4","29.0","11.0","54.0","207.3","2.0","3.0","319.6"
"","low","540.2","342.3","3,833.0","23.6","12.5","50.2","145.0","1.0","3.8","244.7"
"Kirk Cousins","ATLhigh","533.3","349.6","4,016.1","27.0","10.5","34.0","99.7","1.4","4.5","267.7"
"","high","570.0","383.5","4,215.9","30.0","7.0","38.0","118.0","2.0","3.0","323.0"
