"Player","Team","RUSH_ATT","RUSH_YDS","RUSH_TDS","REC","REC_YDS","REC_TDS","FL","FPTS"
"","low","16.7","71.0","0.4","4.0","27.6","0.1","0.1","12.8"
"Israel Abanikanda","NYJhigh","17.3","63.8","0.3","2.7","19.0","0.1","0.1","10.8"
"","high","25.0","107.3","0.8","4.1","29.2","0.2","0.0","19.5"
"","low","9.5","38.1","0.0","2.0","13.9","0.0","0.1","6.8"
"Chris Evans","CINhigh","0.0","38.0","0.0","9.0","65.0","0.0","0.0","10.3"
"","high","0.0","38.0","0.0","9.0","65.0","0.0","0.0","19.3"
"","low","0.0","38.0","0.0","9.0","65.0","0.0","0.0","19.3"
"Sean Tucker","TBhigh","14.0","50.0","0.3","3.4","25.2","0.1","0.0","9.7"
"","high","16.6","71.3","0.5","4.2","29.5","0.2","0.0","14.0"
"","low","11.4","33.0","0.0","2.0","18.0","0.0","0.1","7.1"
"Raheem Blackshear","CARhigh","6.1","35.6","0.1","4.5","33.5","0.0","0.0","7.9"
"","high","12.1","55.0","0.4","9.0","68.0","0.1","0.0","21.3"
"","low","0.0","0.0","0.0","2.0","14.3","0.0","0.1","1.9"
"Dante Miller","NYGhigh","7.1","29.3","0.2","4.2","28.1","0.2","0.1","7.9"
"","high","7.1","29.3","0.2","4.2","28.1","0.2","0.1","7.9"
"","low","7.1","29.3","0.2","4.2","28.1","0.2","0.1","7.9"
"Alec Ingold","MIAhigh","1.1","4.4","0.0","7.6","55.2","0.3","0.1","7.7"
"","high","2.2","8.8","0.0","13.0","94.5","0.5","0.1","12.1"
"","low","0.0","0.0","0.0","2.2","15.8","0.2","0.1","3.4"
"Sione Vaki","DEThigh","12.6","39.5","0.2","1.5","9.7","0.0","0.0","6.4"
"","high","12.6","52.9","0.4","2.0","14.5","0.1","0.0","10.0"
"","low","12.6","26.0","0.0","1.0","5.0","0.0","0.1","4.1"
"Avery Williams","ATLhigh","4.4","18.5","0.2","3.3","22.3","0.2","0.0","6.1"
"","high","4.7","19.4","0.2","4.4","29.4","0.2","0.0","8.2"
"","low","4.1","17.7","0.2","2.2","15.1","0.2","0.0","4.8"
"Darrynton Evans","BUFhigh","5.0","20.7","0.1","3.1","23.1","0.2","0.0","6.0"
"","high","7.8","32.5","0.3","4.0","29.3","0.2","0.0","8.6"
"","low","2.3","9.0","0.0","2.2","16.9","0.2","0.0","3.7"
"DeeJay Dallas","ARIhigh","5.3","30.3","0.1","3.7","24.4","0.0","0.0","6.0"
"","high","8.2","46.0","0.3","5.0","36.0","0.1","0.0","13.2"
"","low","2.5","10.0","0.0","1.9","12.1","0.0","0.1","2.9"
"Travis Homer","CHIhigh","2.3","32.3","0.0","3.1","22.1","0.1","0.0","6.0"
"","high","2.3","55.0","0.0","4.0","28.0","0.2","0.0","12.3"
"","low","2.3","9.6","0.0","2.1","16.3","0.0","0.0","3.6"
"Reggie Gilliam","BUFhigh","0.0","0.0","0.0","4.4","33.2","0.3","0.0","4.9"
"","high","0.0","0.0","0.0","4.4","33.2","0.3","0.0","4.9"
"","low","0.0","0.0","0.0","4.4","33.2","0.3","0.0","4.9"
"Keilan Robinson","JAChigh","0.0","33.0","0.0","2.0","15.0","0.0","0.0","4.8"
"","high","0.0","33.0","0.0","2.0","15.0","0.0","0.0","12.8"
"","low","0.0","33.0","0.0","2.0","15.0","0.0","0.0","12.8"
"Adam Prentice","NOhigh","3.3","14.0","0.1","3.3","23.1","0.1","0.0","4.8"
"","high","4.2","18.3","0.1","4.5","31.9","0.1","0.0","6.5"
"","low","2.4","9.6","0.0","2.1","14.3","0.1","0.0","3.2"
"Zach Evans","LARhigh","2.3","20.6","0.0","1.5","12.2","0.1","0.0","3.8"
"","high","2.3","32.0","0.0","2.0","15.3","0.2","0.0","5.1"
"","low","2.3","9.3","0.0","1.0","9.0","0.0","0.0","3.5"
"Patrick Ricard","BALhigh","2.7","10.9","0.0","2.3","16.2","0.2","0.0","3.7"
"","high","2.7","10.9","0.0","2.3","16.2","0.2","0.0","3.9"
"","low","2.7","10.9","0.0","2.3","16.2","0.2","0.0","3.9"
"Patrick Taylor Jr.","SFhigh","2.5","13.5","0.0","2.0","13.9","0.1","0.0","3.2"
"","high","2.5","17.0","0.0","2.0","15.0","0.2","0.0","5.2"
"","low","2.5","10.0","0.0","2.0","12.8","0.0","0.0","3.4"
"John Kelly Jr.","BALhigh","2.4","9.9","0.0","2.0","13.8","0.1","0.0","3.0"
"","high","2.4","9.9","0.0","2.0","13.8","0.1","0.0","3.2"
"","low","2.4","9.9","0.0","2.0","13.8","0.1","0.0","3.2"
"C.J. Ham","MINhigh","2.2","8.6","0.0","2.1","15.4","0.1","0.0","2.7"
"","high","2.2","8.6","0.0","2.1","15.4","0.1","0.0","3.3"
"","low","2.2","8.6","0.0","2.1","15.4","0.1","0.0","3.3"
"Tyrion Davis-Price","PHIhigh","0.0","17.0","0.0","1.0","3.0","0.0","0.0","2.0"
"","high","0.0","17.0","0.0","1.0","3.0","0.0","0.0","3.0"
"","low","0.0","17.0","0.0","1.0","3.0","0.0","0.0","3.0"
""
""
