"Player","Team","RUSH_ATT","RUSH_YDS","RUSH_TDS","REC","REC_YDS","REC_TDS","FL","FPTS"
"","low","151.3","662.7","4.0","29.9","210.6","1.0","1.0","128.7"
"Tony Pollard","TENhigh","190.0","820.9","5.6","33.7","233.9","0.8","0.9","142.4"
"","high","233.0","937.0","7.0","41.0","278.0","1.2","0.8","180.8"
"","low","156.0","655.0","5.0","28.0","191.0","0.0","1.0","129.3"
"Brian Robinson Jr.","WAShigh","185.3","776.2","5.3","28.8","242.3","1.8","1.5","141.4"
"","high","204.0","840.6","6.0","34.9","292.0","4.0","1.0","164.1"
"","low","162.4","683.3","4.6","24.0","184.0","0.9","2.0","119.8"
"Javonte Williams","DENhigh","198.3","815.7","4.6","40.8","244.9","1.5","0.9","141.0"
"","high","230.4","950.4","5.9","48.7","298.5","2.0","0.8","178.9"
"","low","168.9","669.1","4.0","32.4","186.0","1.0","1.0","121.0"
"Devin Singletary","NYGhigh","196.2","847.3","5.0","33.0","213.2","0.7","1.0","137.9"
"","high","216.5","915.8","6.2","39.0","268.0","1.0","0.9","181.9"
"","low","184.5","759.0","4.0","26.6","161.9","0.0","1.0","115.0"
"Zack Moss","CINhigh","169.2","734.3","5.8","28.7","199.0","1.4","0.5","135.5"
"","high","187.5","788.6","6.0","37.0","254.0","3.0","0.0","172.9"
"","low","149.5","646.8","5.5","17.9","119.4","0.9","1.0","125.0"
"Gus Edwards","LAChigh","183.7","787.1","7.0","15.2","131.9","0.4","1.3","133.5"
"","high","199.0","855.0","10.0","18.0","185.0","1.0","1.0","159.9"
"","low","174.0","634.0","5.2","8.8","64.5","0.0","2.0","121.0"
"Jaylen Warren","PIThigh","141.3","681.6","3.9","48.3","330.2","1.7","1.4","132.1"
"","high","164.9","739.0","4.3","54.2","370.2","2.2","1.0","179.8"
"","low","124.4","598.0","3.1","43.0","295.5","1.0","2.0","113.0"
"Ezekiel Elliott","DALhigh","172.7","670.8","5.7","29.4","195.8","1.3","1.0","127.1"
"","high","191.1","751.4","6.3","33.0","216.7","2.0","0.9","156.2"
"","low","130.0","455.0","4.0","25.9","161.2","1.0","1.0","82.0"
"Chase Brown","CINhigh","141.1","613.2","4.0","37.3","304.4","1.9","0.6","125.8"
"","high","174.4","709.0","4.7","41.4","400.0","3.0","0.0","156.5"
"","low","122.0","526.0","3.0","34.0","264.0","1.0","1.0","115.0"
"Tyjae Spears","TENhigh","142.8","623.7","3.6","43.3","337.1","1.5","0.9","125.1"
"","high","183.6","745.5","4.7","57.0","456.0","2.0","0.6","171.6"
"","low","120.6","528.2","3.0","26.9","206.1","0.9","1.0","96.0"
"Nick Chubb","CLEhigh","157.9","758.2","5.2","17.5","138.3","0.6","0.9","122.9"
"","high","183.0","828.0","7.0","28.0","223.0","1.0","0.6","152.1"
"","low","141.0","676.0","4.0","13.1","98.0","0.0","1.0","110.1"
"Austin Ekeler","WAShigh","125.6","521.0","4.1","46.8","372.2","2.0","1.7","122.9"
"","high","137.1","575.6","7.0","53.7","434.2","2.1","1.0","164.6"
"","low","116.3","455.0","3.0","39.0","325.0","2.0","3.0","114.0"
"Jerome Ford","CLEhigh","148.0","596.3","3.6","31.9","226.5","1.8","0.8","113.4"
"","high","183.4","739.5","4.6","41.0","292.0","5.0","0.5","154.6"
"","low","119.0","477.0","3.0","23.0","164.0","0.9","1.0","88.1"
"Jonathon Brooks","CARhigh","152.2","672.0","4.4","22.9","175.7","0.9","1.6","113.2"
"","high","171.0","736.0","5.0","33.0","247.0","1.0","0.7","165.3"
"","low","141.5","612.0","3.2","13.9","103.5","0.5","3.0","84.0"
"J.K. Dobbins","LAChigh","133.6","564.7","3.9","23.9","180.4","1.5","0.9","104.9"
"","high","148.5","743.5","6.0","33.0","271.0","4.0","0.7","125.0"
"","low","123.1","348.0","3.0","11.1","73.6","0.4","1.0","84.7"
"Ty Chandler","MINhigh","145.8","596.1","4.3","20.7","151.9","0.6","0.8","103.0"
"","high","153.6","671.3","6.0","23.0","174.0","1.0","0.4","111.9"
"","low","128.0","492.0","3.0","13.2","90.8","0.0","1.0","88.0"
"Tyler Allgeier","ATLhigh","134.4","555.2","3.8","21.3","169.2","1.2","0.8","100.9"
"","high","138.2","575.0","4.9","28.0","212.2","2.0","0.3","113.3"
"","low","129.0","517.0","3.0","17.0","134.0","0.9","1.0","91.0"
"Rico Dowdle","DALhigh","138.5","538.6","3.5","22.7","173.6","1.2","0.4","98.9"
"","high","191.0","720.0","5.0","24.0","191.0","2.0","0.0","116.0"
"","low","104.0","442.9","3.0","22.0","160.0","0.9","1.0","86.0"
"Chuba Hubbard","CARhigh","144.3","576.7","3.7","25.7","178.4","0.5","0.9","98.8"
"","high","176.6","705.9","4.5","29.9","201.3","1.0","0.6","125.2"
"","low","111.0","454.0","2.9","22.0","155.0","0.0","1.0","78.9"
"Blake Corum","LARhigh","130.6","548.7","4.2","19.0","147.6","0.7","1.5","96.3"
"","high","158.0","677.0","6.0","23.0","163.0","1.0","0.5","111.4"
"","low","97.0","427.0","3.0","13.0","129.6","0.0","3.0","77.0"
"Khalil Herbert","CHIhigh","148.1","597.0","3.4","16.6","114.9","0.9","0.8","95.0"
"","high","186.3","812.6","4.8","23.0","152.0","1.0","0.5","124.9"
"","low","125.2","427.0","2.8","10.0","76.0","0.7","1.0","78.0"
"Trey Benson","ARIhigh","130.8","567.3","3.9","17.9","131.1","0.8","1.5","95.0"
"","high","156.0","739.0","6.0","21.6","152.6","1.0","0.6","118.7"
"","low","106.0","455.0","3.0","13.7","90.1","0.4","3.0","83.4"
"Zach Charbonnet","SEAhigh","115.3","498.7","3.0","32.8","222.3","0.8","0.8","93.5"
"","high","124.0","546.0","4.0","35.8","246.8","1.2","0.3","136.5"
"","low","104.1","423.9","2.0","30.4","203.7","0.0","1.0","64.0"
"Antonio Gibson","NEhigh","115.3","440.9","2.3","37.8","284.6","1.2","1.4","90.9"
"","high","123.8","522.5","3.0","52.0","396.0","2.0","1.0","111.1"
"","low","106.0","341.0","2.0","29.7","239.2","0.8","2.0","82.0"
"Jaleel McLaughlin","DENhigh","100.6","481.3","2.6","28.9","186.7","1.0","0.8","87.1"
"","high","104.5","587.0","3.0","35.3","241.6","2.0","0.3","108.3"
"","low","96.7","435.2","2.0","22.0","145.0","0.0","1.0","78.0"
"Bucky Irving","TBhigh","105.8","397.0","2.7","17.6","141.1","0.9","1.5","72.1"
"","high","130.0","477.0","4.0","20.0","201.0","1.0","0.4","79.0"
"","low","80.4","319.0","1.9","16.3","115.0","0.7","3.0","64.5"
"Alexander Mattison","LVhigh","113.3","420.3","2.6","14.5","96.6","1.0","0.9","71.3"
"","high","124.7","511.2","3.2","20.0","128.0","2.0","0.6","79.1"
"","low","94.0","323.0","2.0","11.3","77.1","0.5","1.0","54.0"
"Ray Davis","BUFhigh","89.5","386.9","2.9","16.7","136.4","0.6","1.2","71.2"
"","high","103.0","458.0","4.0","21.0","203.0","1.0","0.4","74.0"
"","low","73.8","312.0","2.2","13.0","94.2","0.0","2.0","61.8"
"MarShawn Lloyd","GBhigh","92.5","373.4","3.0","14.4","115.7","0.9","1.1","69.7"
"","high","146.0","597.0","6.0","21.4","151.6","1.0","0.4","95.0"
"","low","59.0","256.9","1.9","10.4","81.1","0.5","2.0","48.2"
"Jamaal Williams","NOhigh","113.1","415.5","3.0","16.3","92.7","0.2","0.5","69.1"
"","high","133.2","527.2","4.1","19.2","111.3","0.6","0.0","90.2"
"","low","84.0","336.6","1.8","12.0","77.0","0.0","1.0","49.0"
"Braelon Allen","NYJhigh","99.9","397.1","2.9","11.1","86.1","0.7","0.8","68.6"
"","high","126.0","508.0","4.0","13.1","119.0","1.0","0.0","79.5"
"","low","78.4","339.2","2.0","6.1","41.9","0.3","2.0","56.1"
"Tyrone Tracy Jr.","NYGhigh","94.6","372.3","2.5","14.7","107.6","0.7","1.1","65.0"
"","high","138.0","584.0","4.0","17.7","123.0","1.0","0.0","79.0"
"","low","65.7","275.3","1.6","12.2","74.0","0.4","3.0","53.8"
"Clyde Edwards-Helaire","KChigh","72.2","285.8","1.8","19.4","165.2","1.3","0.5","62.8"
"","high","100.0","383.0","2.5","30.0","276.0","2.0","0.0","84.7"
"","low","29.3","121.3","0.8","4.8","38.1","0.2","1.0","21.8"
"Elijah Mitchell","SFhigh","89.9","375.8","3.0","9.2","59.4","0.2","0.7","61.1"
"","high","126.0","502.0","4.0","11.7","79.4","0.5","0.2","73.7"
"","low","59.5","253.9","1.8","4.1","26.3","0.0","1.0","39.9"
"Miles Sanders","CARhigh","105.5","379.4","2.1","16.6","102.2","0.2","1.2","59.2"
"","high","126.0","469.0","3.0","32.0","174.0","0.4","0.5","67.9"
"","low","93.3","194.0","1.0","6.0","44.0","0.0","2.0","33.8"
"Kendre Miller","NOhigh","62.4","283.1","2.1","16.8","138.9","0.7","0.8","56.9"
"","high","93.0","383.0","3.0","30.8","242.8","1.4","0.3","89.6"
"","low","23.7","96.1","0.6","6.4","47.0","0.0","1.0","19.2"
"Tank Bigsby","JAChigh","101.5","331.9","3.4","8.2","56.8","0.2","2.2","56.0"
"","high","122.0","391.5","6.0","13.0","91.0","0.5","0.0","62.1"
"","low","82.5","286.0","2.0","1.0","6.0","0.0","6.0","46.0"
"Jaylen Wright","MIAhigh","57.8","267.0","2.2","12.0","99.5","0.7","0.8","52.8"
"","high","102.0","479.0","5.0","17.0","180.0","1.0","0.0","81.0"
"","low","20.0","82.6","0.5","6.6","45.1","0.3","2.0","16.9"
"AJ Dillon","GBhigh","71.0","283.3","2.2","11.7","100.1","0.2","0.4","51.4"
"","high","89.0","321.0","3.0","18.0","181.0","0.3","0.0","70.6"
"","low","47.8","186.8","1.2","7.1","59.7","0.0","1.0","34.0"
"Roschon Johnson","CHIhigh","67.7","265.3","2.0","17.3","114.9","0.4","0.8","51.3"
"","high","93.0","395.0","3.0","34.0","209.0","1.0","0.3","64.8"
"","low","54.2","207.0","1.5","6.5","43.5","0.0","1.0","36.9"
"Dameon Pierce","HOUhigh","72.7","306.0","2.2","9.9","72.5","0.2","0.5","50.7"
"","high","90.4","436.0","3.0","13.0","100.0","0.4","0.0","75.3"
"","low","57.7","219.0","1.4","8.8","57.6","0.0","1.0","29.0"
"Keaton Mitchell","BALhigh","63.7","299.6","2.0","10.5","86.6","0.3","0.7","50.7"
"","high","98.0","588.0","4.0","12.6","97.0","0.6","0.2","74.0"
"","low","41.2","182.8","1.0","9.0","75.0","0.0","1.0","37.4"
"Kimani Vidal","LAChigh","55.5","271.8","1.8","13.4","93.7","0.3","0.1","49.1"
"","high","68.4","345.0","3.0","17.2","114.7","0.7","0.0","78.6"
"","low","42.5","175.6","0.8","8.0","55.3","0.0","0.2","29.2"
"Kenneth Gainwell","PHIhigh","62.1","245.7","1.8","16.7","117.5","0.4","1.2","47.4"
"","high","115.0","488.0","4.0","29.0","201.0","1.0","0.5","71.0"
"","low","9.9","41.0","0.3","4.0","26.4","0.0","2.0","9.6"
"Justice Hill","BALhigh","57.8","231.1","1.6","14.1","104.0","0.5","0.8","44.2"
"","high","104.0","487.0","3.0","19.0","139.0","1.0","0.0","58.2"
"","low","16.7","69.8","0.5","5.9","42.0","0.0","2.0","15.5"
"Audric Estime","DENhigh","56.2","237.9","1.6","9.6","70.8","0.4","1.1","40.7"
"","high","83.0","349.0","2.0","11.1","85.0","1.0","0.2","48.4"
"","low","38.2","159.5","0.9","8.2","58.7","0.0","2.0","28.8"
"Eric Gray","NYGhigh","39.6","206.9","1.4","10.8","73.6","0.2","0.1","37.6"
"","high","53.2","291.0","2.0","13.3","95.0","0.5","0.0","63.6"
"","low","26.0","104.3","0.7","6.1","36.7","0.0","0.3","18.7"
"Will Shipley","PHIhigh","36.3","191.1","1.6","6.4","48.2","0.4","0.0","35.4"
"","high","42.2","301.0","2.0","12.0","88.0","1.0","0.0","68.9"
"","low","32.7","140.5","0.8","2.0","25.0","0.0","0.1","19.0"
"Trey Sermon","INDhigh","44.5","228.7","1.2","6.5","44.5","0.1","0.1","35.1"
"","high","57.0","318.0","2.0","10.0","75.0","0.3","0.0","61.3"
"","low","19.6","79.1","0.4","2.0","8.0","0.0","0.2","13.9"
"Ty Johnson","BUFhigh","35.8","154.3","1.0","11.2","93.7","0.6","0.2","34.2"
"","high","44.8","192.3","1.4","15.2","145.5","1.0","0.0","52.1"
"","low","26.8","110.6","0.7","4.3","34.5","0.3","0.3","19.8"
"Jordan Mason","SFhigh","38.0","198.5","1.7","5.1","35.8","0.1","0.0","34.1"
"","high","44.6","281.0","2.0","10.0","71.0","0.4","0.0","57.2"
"","low","33.0","163.0","1.3","1.0","5.0","0.0","0.1","19.0"
"Chris Rodriguez Jr.","WAShigh","27.2","176.3","1.4","9.5","67.3","0.2","0.1","33.6"
"","high","27.2","235.0","2.0","12.0","83.5","0.4","0.0","47.6"
"","low","27.2","117.7","0.8","7.0","51.0","0.0","0.2","26.7"
"Isaiah Davis","NYJhigh","65.5","193.8","1.4","6.5","47.1","0.2","0.1","33.3"
"","high","65.5","276.5","1.8","8.9","63.1","0.4","0.0","46.7"
"","low","65.5","111.0","1.0","4.0","31.0","0.0","0.3","24.2"
"Emari Demercado","ARIhigh","31.9","141.5","1.1","16.2","107.2","0.4","0.5","33.3"
"","high","49.0","212.0","2.0","22.0","136.0","1.0","0.0","54.6"
"","low","14.9","60.6","0.4","9.7","61.5","0.0","1.0","16.1"
"Chase Edmonds","TBhigh","44.2","158.8","0.9","13.2","94.9","0.2","0.1","31.9"
"","high","44.2","192.6","1.0","16.0","119.0","0.4","0.0","46.4"
"","low","44.2","125.0","0.8","10.4","70.8","0.0","0.2","33.5"
"Carson Steele","KChigh","35.3","141.5","1.0","10.7","90.2","0.3","0.4","30.8"
"","high","64.0","279.0","2.0","22.0","214.0","1.0","0.0","48.0"
"","low","20.2","85.5","0.5","4.3","29.1","0.0","1.0","15.3"
"Dylan Laube","LVhigh","26.4","157.9","1.1","9.1","64.9","0.1","0.1","29.7"
"","high","37.7","256.0","2.0","15.0","110.0","0.3","0.0","63.6"
"","low","15.1","61.8","0.3","3.7","24.8","0.0","0.1","16.4"
"Cordarrelle Patterson","PIThigh","33.5","144.2","1.0","9.2","70.5","0.3","0.1","29.4"
"","high","38.0","173.7","1.2","17.6","136.7","0.9","0.0","43.1"
"","low","29.6","124.9","1.0","3.0","23.0","0.0","0.2","13.0"
"Isaac Guerendo","SFhigh","29.9","167.4","1.3","5.2","43.0","0.1","0.0","29.2"
"","high","33.0","240.0","2.0","10.0","75.0","0.2","0.0","53.5"
"","low","26.8","116.2","1.0","2.0","27.0","0.0","0.1","13.0"
"Kendall Milton","PHIhigh","34.0","145.0","2.0","2.0","25.0","0.0","0.0","29.0"
